,,,,,,,,,Integrated Y1,Integrated Y2
,,,,,,,,,"Integrate of H x=(-21.8409,-0.0009) Area = 6.25841","Integrate of I x=(-21.8409,-0.0009) Area = -16.0513"
-17.2109,3.292E-4,-3.23E-4,0.001876,-0.001882,0.001025,-9.919E-4,0.0020169,-0.03471266421,0.03175916525,-0.612452604033615
-17.1959,3.288E-4,-3.231E-4,0.001906,-0.001924,0.001074,-0.001047,0.002121,-0.0364725039,0.0317901995,-0.61298649279444
-17.1819,3.324E-4,-3.28E-4,0.001965,-0.001967,0.001146,-0.001102,0.002248,-0.0386249112,0.0318207825,-0.61351217470014
-17.1679,3.408E-4,-3.376E-4,0.002021,-0.002041,0.001217,-0.001182,0.002399,-0.0411857921,0.0318533115,-0.61407084962324
-17.1539,3.538E-4,-3.515E-4,0.002108,-0.002134,0.001315,-0.001278,0.002593,-0.0444800627,0.0318882555,-0.61467051060684
-17.1389,3.711E-4,-3.697E-4,0.002214,-0.002244,0.00143,-0.00139,0.00282,-0.048331698,0.031928853,-0.61536659881209
-17.1249,3.927E-4,-3.919E-4,0.002336,-0.00237,0.001563,-0.00152,0.003083,-0.0527960667,0.031970174,-0.61607449316499
-17.1109,4.183E-4,-4.181E-4,0.002472,-0.002508,0.001714,-0.001666,0.00338,-0.057834842,0.032015415,-0.61684890952589
-17.0969,4.477E-4,-4.48E-4,0.002618,-0.002656,0.001883,-0.00183,0.003713,-0.0634807897,0.032065066,-0.61769811894779
-17.0819,4.808E-4,-4.815E-4,0.002771,-0.00281,0.00207,-0.00201,0.00408,-0.069694152,0.0321235135,-0.61869693101054
-17.0679,5.172E-4,-5.183E-4,0.002928,-0.002966,0.002275,-0.002206,0.004481,-0.0764812599,0.0321834405,-0.61972015889384
-17.0539,5.569E-4,-5.583E-4,0.003084,-0.00312,0.002495,-0.002417,0.004912,-0.0837687568,0.0322491915,-0.62084190901074
-17.0399,5.995E-4,-6.012E-4,0.003235,-0.003267,0.002731,-0.002642,0.005373,-0.0915553827,0.0323211865,-0.62206917798724
-17.0249,6.451E-4,-6.47E-4,0.003375,-0.003402,0.002981,-0.002879,0.00586,-0.099765914,0.032405434,-0.62350408771249
-17.0109,6.934E-4,-6.957E-4,0.003502,-0.003523,0.003242,-0.003127,0.006369,-0.1083424221,0.032491037,-0.62496084606519
-16.9969,7.446E-4,-7.473E-4,0.003611,-0.003624,0.003513,-0.003382,0.006895,-0.1171936255,0.032583885,-0.62653959839839
-16.9829,7.987E-4,-8.02E-4,0.003699,-0.003704,0.00379,-0.003643,0.007433,-0.1262338957,0.032684181,-0.62824359104679
-16.9679,8.555E-4,-8.597E-4,0.003763,-0.00376,0.00407,-0.003905,0.007975,-0.1353190025,0.032799741,-0.63020523778329
-16.9539,9.164E-4,-9.217E-4,0.003802,-0.003791,0.004349,-0.004166,0.008515,-0.1443624585,0.032915171,-0.63216300801029
-16.9399,9.818E-4,-9.886E-4,0.003816,-0.003796,0.004625,-0.004422,0.009047,-0.1532552753,0.033038105,-0.63424633214689
-16.9259,0.001053,-0.001064,0.003805,-0.003778,0.004894,-0.004672,0.009566,-0.1619131594,0.033168396,-0.636452511189791
