,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated Y1,Integrated Y2,Integrated Y3,Integrated Y4,,,,,Integrated Y5,Integrated Y6,Integrated Y7,Integrated Y8,Integrated Y9,Integrated Y10,Integrated Y11,Integrated Y12,,,,,Integrated Y13,Integrated Y14
,s,,py,,pz,,px,,dxy,,dyz,,dz2,,dxz,,dx2-dy2,,t2g,,eg,,t2g_tot,eg_tot,,,"Integrate of X x=(-21.7656,-0.0066) Area = 3.71853","Integrate of Y x=(-21.7656,-0.0066) Area = 3.58675","Integrate of Z x=(-21.7656,-0.0066) Area = -9.30551","Integrate of AA x=(-21.7656,-0.0066) Area = -4.76628",,,,,"Integrate of T x=(-21.7656,-0.0066) Area = 2.21904","Integrate of U x=(-21.7656,-0.0066) Area = -1.49949","Integrate of V x=(-21.7656,-0.0066) Area = 1.82871","Integrate of W x=(-21.7656,-0.0066) Area = -1.75804","Integrate of AF x=(-21.7656,-0.0066) Area = -5.64132","Integrate of AG x=(-21.7656,-0.0066) Area = 3.66419","Integrate of AH x=(-21.7656,-0.0066) Area = -2.84435","Integrate of AI x=(-21.7656,-0.0066) Area = 1.92193",,,,,"Integrate of AT x=(-21.7656,-0.0066) Area = 4.55189","Integrate of AU x=(-21.7656,-0.0066) Area = -6.0015"
-21.1086,1.271E-4,-1.296E-4,0,0,0,0,3.788E-5,-3.995E-5,0,0,0,0,3.504E-5,-3.584E-5,0,0,1.82E-6,-1.92E-6,0,0,3.686E-5,-3.776E-5,0,7.462E-5,0,-0.001575123732,0,7.44665000000003E-6,0,-1.57779602605001E-4,0,0,-7.78062996E-4,7.97060736E-4,0,0,3.67787999999999E-6,-3.76877000000004E-6,0,0,-7.79242919429998E-5,7.98553106620008E-5,3.504E-5,-3.584E-5,7.088E-5,-0.001496177568,7.07300000000003E-6,-1.49862710435E-4
-21.0946,1.466E-4,-1.494E-4,0,0,0,0,4.367E-5,-4.606E-5,0,0,0,0,4.04E-5,-4.132E-5,0,0,2.1E-6,-2.22E-6,0,0,4.25E-5,-4.354E-5,0,8.604E-5,0,-0.001814979384,0,8.57126999999997E-6,0,-1.81510324416999E-4,0,0,-8.965205E-4,9.18458884E-4,0,0,4.23339999999996E-6,-4.33787000000001E-6,0,0,-8.96463764149992E-5,9.18639480020002E-5,4.04E-5,-4.132E-5,8.172E-5,-0.001723850712,8.14119999999998E-6,-1.72402908394999E-4
-21.0796,1.69E-4,-1.722E-4,0,0,0,0,5.035E-5,-5.311E-5,0,0,0,0,4.658E-5,-4.764E-5,0,0,2.42E-6,-2.56E-6,0,0,4.9E-5,-5.02E-5,0,9.92E-5,0,-0.00209109632,0,9.96057000000003E-6,0,-2.10805892197001E-4,0,0,-0.0010329004,0.00105819592,0,0,4.91964999999999E-6,-5.04092000000004E-6,0,0,-1.04117033165E-4,1.06688859032001E-4,4.658E-5,-4.764E-5,9.422E-5,-0.001986119912,9.46075000000002E-6,-2.00227688075001E-4
-21.0656,1.948E-4,-1.985E-4,0,0,0,0,5.804E-5,-6.122E-5,0,0,0,0,5.369E-5,-5.492E-5,0,0,2.79E-6,-2.95E-6,0,0,5.648E-5,-5.787E-5,0,1.1435E-4,0,-0.00240885136,0,1.145542E-5,0,-2.42305525956999E-4,0,0,-0.001189785088,0.001219066272,0,0,5.65800999999995E-6,-5.79741E-6,0,0,-1.19675831580999E-4,1.22629694376E-4,5.369E-5,-5.492E-5,1.0861E-4,-0.002287934816,1.088056E-5,-2.30146071170999E-4
-21.0516,2.246E-4,-2.288E-4,0,0,0,0,6.69E-5,-7.056E-5,0,0,0,0,6.189E-5,-6.33E-5,0,0,3.21E-6,-3.4E-6,0,0,6.51E-5,-6.67E-5,0,1.318E-4,0,-0.00277460088,0,1.31784699999999E-5,0,-2.78589691636997E-4,0,0,-0.00137045916,0.00140414172,0,0,6.50906999999992E-6,-6.66939999999996E-6,0,0,-1.37597541316998E-4,1.40992150319999E-4,6.189E-5,-6.33E-5,1.2519E-4,-0.002635449804,1.25171599999999E-5,-2.64609763510998E-4
-21.0366,2.588E-4,-2.637E-4,0,0,0,0,7.711E-5,-8.133E-5,0,0,0,0,7.133E-5,-7.296E-5,0,0,3.7E-6,-3.92E-6,0,0,7.503E-5,-7.688E-5,0,1.5191E-4,0,-0.003195669906,0,1.5306295E-5,0,-3.23366722531999E-4,0,0,-0.001578376098,0.001617293808,0,0,7.56004499999996E-6,-7.74625E-6,0,0,-1.59713805751999E-4,1.6365291678E-4,7.133E-5,-7.296E-5,1.4429E-4,-0.003035371014,1.453826E-5,-3.07140919645999E-4
-21.0226,2.983E-4,-3.039E-4,0,0,0,0,8.886E-5,-9.372E-5,0,0,0,0,8.221E-5,-8.407E-5,1E-8,-1E-8,4.27E-6,-4.51E-6,1E-8,-1E-8,8.648E-5,-8.858E-5,2E-8,1.7506E-4,-4.20452E-7,-0.003680216356,1.39999999999993E-10,1.75950849999999E-5,-2.94316399999986E-9,-3.71497926365997E-4,-2.10226E-7,2.10226E-7,-0.001818034448,0.001862181908,6.99999999999967E-11,-6.99999999999967E-11,8.6906149999999E-6,-8.90446999999995E-6,-1.47158199999993E-9,1.47158199999993E-9,-1.83488679573998E-4,1.88009246791999E-4,8.222E-5,-8.408E-5,1.663E-4,-0.00349605838,1.67123899999999E-5,-3.52860925403997E-4
-21.0086,3.437E-4,-3.502E-4,0,0,0,0,1.024E-4,-1.08E-4,0,0,0,0,9.472E-5,-9.687E-5,1E-8,-1E-8,4.92E-6,-5.2E-6,1E-8,-1E-8,9.964E-5,-1.0207E-4,2E-8,2.0171E-4,-4.20172E-7,-0.004237644706,4.19999999999981E-10,2.02324749999997E-5,-8.82753199999959E-9,-4.26922953799994E-4,-2.10086E-7,2.10086E-7,-0.002093296904,0.002144347802,2.0999999999999E-10,-2.0999999999999E-10,9.99345499999984E-6,-1.02390199999999E-5,-4.4137659999998E-9,4.4137659999998E-9,-2.10867999037997E-4,2.16054954761998E-4,9.473E-5,-9.688E-5,1.9161E-4,-0.004025457846,1.92177599999997E-5,-4.05511538985995E-4
-20.9946,3.96E-4,-4.034E-4,0,0,0,0,1.18E-4,-1.244E-4,0,0,0,0,1.091E-4,-1.116E-4,1E-8,-1E-8,5.67E-6,-5.99E-6,1E-8,-1E-8,1.1477E-4,-1.1759E-4,2E-8,2.3236E-4,-4.19892E-7,-0.004878305256,7.00000000000039E-10,2.32709650000004E-5,-1.47079800000008E-8,-4.90734603534008E-4,-2.09946E-7,2.09946E-7,-0.002409550242,0.002468755014,3.50000000000019E-10,-3.50000000000019E-10,1.14943250000002E-5,-1.17766400000002E-5,-7.35399000000041E-9,7.35399000000041E-9,-2.42387929060003E-4,2.48346674474004E-4,1.0911E-4,-1.1161E-4,2.2072E-4,-0.004633928112,2.21040700000003E-5,-4.66127240692007E-4
-20.9796,4.561E-4,-4.647E-4,0,0,0,0,1.359E-4,-1.433E-4,0,0,0,0,1.257E-4,-1.285E-4,1E-8,-1E-8,6.53E-6,-6.9E-6,1E-8,-1E-8,1.3223E-4,-1.354E-4,2E-8,2.6763E-4,-4.19592E-7,-0.005614770348,9.99999999999979E-10,2.70208899999996E-5,-2.10041099999996E-8,-5.69432670563992E-4,-2.09796E-7,2.09796E-7,-0.002774132508,0.00284063784,4.99999999999989E-10,-4.99999999999989E-10,1.33468249999998E-5,-1.36740649999998E-5,-1.05020549999998E-8,1.05020549999998E-8,-2.81265549684995E-4,2.88167120878996E-4,1.2571E-4,-1.2851E-4,2.5422E-4,-0.005333433912,2.56661199999996E-5,-5.40882455871992E-4
